Category ID,Category Name,Item Sort Order
KNBQ2K17X8TQW,Quick Items,White Reusable T-Shirt Bag (CGD)
,,Brown Paper Bag (CGD)
,,White Paper Bag
,,Book of Matches (CGD)
,,Chapstick: Moisturizer Lip Balm 0.15 oz Stick (KUD)
,,Incense Sticks Pack 1 pk
,,Rose Stem 1 Tube (KUD)
,,Chore Boy 1 pk (KUD)
,,Stamp - Single
,,Phone: USB Car Plugin Unit 1 Unit (KUD)
,,Glass Smoking Pipes (Various Sizes: Big - $19.99; Medium - $15.99; Small - $11.99) (KUD)
,,Metal Smoking Pipes (Various Sizes: Big - $5.99; Medium - $4.99; Small - $3.99) (KUD)
,,Screen Packs: Brass / Silver 1 pk (KUD)
,,Wine Opener - Cork Screw Pen Type 1 pk (KUD)
,,Folding Pocket Knives Various Types 1 pc ($13.99 to $24.99) (KUD)
,,Standard Playing Cards (KUD)
,,Digital Scale AWS-600 (KUD)
,,Digital Scale MS-600 (KUD)
,,Lighter Holder / Money Clip & Knife 1 pc (KUD)
,,Lighter Lease (KUD)
,,12 oz Coffee - Cappuccino
,,16 oz Coffee - Cappuccino
,,Big Brow Paper Bag
,,
6455M6S55E6V0,Medicine / Vitamins,Advil: Singles Ibuprofin Tablets 200 mg 2 ct pk (KUD)
,,Aleve: Singles NSAID Tablets 220 mg 2 ct pk (KUD)
,,Alka-Seltzer PLUS: Cold & Flu Singles 2 ct pk (KUD)
,,Alka-Seltzer: Original Singles 2 ct pk (KUD)
,,Bayer: Single Genuine Aspirin 325 mg 2 ct pk (KUD)
,,Benadryl: Allergy Singles  2 ct pk (KUD)
,,Bayer: Midol Singles 2 ct pk (KUD)
,,Claritin: Singles 1 ct pk (KUD)
,,Excedrin: Singles 2 ct pk (KUD)
,,Motrin: Singles 2 ct pk (KUD)
,,Pepto-Bismol: Single Chewables 4 ct pk (KUD)
,,Tylenol: Singles Extra Strength 2 ct pk (KUD)
,,Tylenol: PM Singles 2 ct pk (KUD)
,,Blaze: Delta THC-P/THC-A - Sativa Gushers Pre-Roll 1 ct (KUD)
,,Blaze: Delta 8 - Hybrid Wedding Cake Pre-Roll 1 ct (KUD)
,,Blaze: Delta 8 - Indica Kush Pre-Roll 1 ct (KUD)
,,Blaze: Delta 8 - Sativa Gorilla Glue Pre-Roll 1 ct (KUD)
,,Medicated Gummies 1 pk (KUD)
,,Clear Eyes: Redness Reliever Eye Drops 0.2 oz Bottle (CGD)
,,Visine: Red Eye Relief 0.28 oz Bottle (KUD)
,,Pepcid AC: Acid Reducer 20 mg Tablets 8 ct pk
,,Pepcid AC: Acid Reducer 20 mg Tablets 5 ct pk
,,Advil: Ibuprofen Tablets 200 mg 24 cnt
,,Advil: Ibuprofen Caplets - 200 mg 24 cnt
,,Aleve: Naproxen Sodium Tablets 220 mg 24 cnt Box
,,Bayer: Asprin 36 Tablets (KUD)
,,Benadryl: Allergy Ultratab Tablets 24 cnt (KUD)
,,Excedrin: Migraine Caplets - 24 cnt Bottle (KUD)
,,Excedrin: Extra Strength Caplets - 24 cnt Bottle (KUD)
,,Tylenol: Extra Strength Caplets 24 ct Bottle
,,Tylenol: PM Extra Strength Caplets 24 ct Bottle
,,Motrin: Ibuprofen Tablets 200 mg 24 cnt (KUD)
,,Halls: Strawberry Menthol Drops 9 ct pk
,,Halls: Mentho-Lyptus Drops 9 ct pk
,,Halls: Honey-Lemon Drops 9 ct pk
,,Rolaids: Mint Antacid - Extra Strength 10 ct Roll (KUD)
,,Rolaids: Assorted Fruit Antacid - Extra Strength 10 ct Roll
,,Tums: Assorted Berries Antacid - Extra Strength 8 ct Roll (KUD)
,,Tums: Assorted Fruit Antacid - Extra Strength 8 ct Roll (KUD)
,,Ricola: Cherry Honey Cough Drops 9 ct pk
,,Ricola: Original Herb Cough Drops 9 ct pk
,,VIP: Rhino 3D 69 4000K - 2 caps pk (KUD)
,,VIP: Rhino 400K - 2 caps pk (KUD)
,,VIP: Rhino 500K - 2 caps pk (KUD)
,,VIP: Rhino 350K (KUD)
,,VIP: Royal Honey 20 g Pk (KUD)
,,VIP: Rhino Choco 10 g Pk (KUD)
,,Rock Pills: Hard Male Enhancement caps (KUD)
,,Stacker: Swarm 4 caps (KUD)
,,Stacker: Yellow Hornet 4 Caps (KUD)
,,Vicks: DayQuil Cold & Flu Original Flavor 2 Cap (KUD)
,,Vicks: NyQuil Cold & Flu Cherry Flavor 8 oz Bottle (KUD)
,,Vicks: DayQuil Cold & Flu 4 oz Bottle (CGD)
,,Vicks: NyQuil Cold & Flu 4 oz Bottle (CGD)
,,Bayer: Midol Complete 4 Caplets pk (KUD)
,,Excedrin: Migrain Singles 2 ct pk (KUD)
,,Vicks: NyQuil Cold & Flu Original Flavor 8 oz Bottle (KUD)
,,Pure Eyes: Redness Relief Eye Drops 0.24 oz Bottle (KUD)
,,
4Q11QVY4JQAZW,Dairy - Cheese Products,Happy Farm: Colby Jack - Shredded Cheese 12 oz Bag (ALD)
,,Happy Farm: Mexican Style - Shredded Cheese 12 oz Bag (ALD)
,,Happy Farm: Mozzarella - Shredded Cheese 16 oz Bag (ALD)
,,Happy Farm: Pepper Jack - Sherdded Cheese 12 oz Bag (ALD)
,,Happy Farm: Sharp Cheddar - Shredded Cheese 12 oz Bag (ALD)
,,Happy Farms: Italian Style - Shredded Cheese 12 oz Bag (ALD)
,,Happy Farm: Taco Style - Shredded Cheese 12 oz Bag (ALD)
,,Happy Farms: Cream Cheese Original 8 oz pk (ALD)
,,
436XGWTMF70BY,Household - General Products,Bic: Disposable Lighter 1 cnt (CTD)
,,Bic: Disposable Multi-Purpose Lighter 1 cnt (CTD)
,,Bic: Mini Lighter 1 Count (CTD)
,,Ignitub: Disposable Lighters 1 cnt (CTD)
,,Wine Opener - Cork Screw Pen Type 1 pk (KUD)
,,Duracell: 9V Alkaline Battery 1 Pk (KUD)
,,Duracell: AA Alkaline Batteries 2 Pk (KUD)
,,Duracell: AA Alkaline Batteries 4 Pk (KUD)
,,Duracell: AAA Alkaline Batteries 2 Pk (KUD)
,,Duracell: C Alkaline Batteries 2 Pk (KUD)
,,Glad: Quarter Freezer Bags  10 ct (DGD)
,,Phone: Iphone Headphones 1 Unit (KUD)
,,Krazy Glue: Instant Super Glue 0.07 oz pk (KUD)
,,Ronson: Multi-Fill Butane Fuel 135 ml Can (KUD)
,,Neon: Lighter Fluid 4.5 oz Can (KUD)
,,Salute: Birthday Candles 24 Pk Box
,,Scripto: Lighter Flints 9 Cnt pk
,,Special Blue: Mini Torch Lighter 1 pc (KUD)
,,Folding Pocket Knives Various Types 1 pc ($13.99 to $24.99) (KUD)
,,Lighter Holder / Money Clip & Knife 1 pc (KUD)
,,Duracell: AAA Alkaline Batteries 4 Pk (KUD)
,,Charcoal Chef: Lighter Fluid 32 oz Bottle (CGD)
,,Shoppers Value: Plastic Party Cups 16 oz / 16 Pk
,,Reynolds: Aluminum Foil 15 sq ft Box
,,Greenbrier: Wax - Parchment Microwaveable Paper 65 sq ft Box (DGD)
,,Glad: Zipperlock Bags 22 ct Box
,,Greenbrier: Surefresh Ziplock Gallon Bags (DGD)
,,Greenbrier: Surefresh Ziplock Quart Bags (DGD)
,,Greenbrier: Paper Plate 6.87 in / 15 ct (DGD)
,,Greenbrier: Party Plastic Plate 8.75 in / 8 ct (DGD)
,,Greenbrier: Party Pack Plates 9*9 in White 24 ct (DGD)
,,Greenbrier: Paper / Plastic Bowls 10 ct (DGD)
,,Greenbrier: Party Pack Forks 48 ct Pk (DGD)
,,Greenbrier: Party Pack Spoons 48 ct Pk (DGD)
,,Greenbrier: Party Pack Assorted 48 ct Pk (DGD)
,,Greenbrier: Party Cups 16 oz / 16 ct White/Yellow/Purple pk (DGD)
,,Greenbrier: Surefresh Heavy Duty Freezer Gallon Bags (DGD)
,,Greenbrier: Party Pack Paper Napkins Yellow/Grey 30 ct Pk (DGD)
,,Willow: Bath Tissue 1000 1-Ply / 4 Pack Toilet Roll (ALD)
,,Greenbrier: Party Paper Plates 7 in / 30 ct Pk (DGD)
,,Greenbrier: Paper Napkins 150 ct Pk (DGD)
,,Greenbrier: Aluminum Foil 40 sqft Box (DGD)
,,Greenbrier: Aluminum Foil 25 sqft Box (DGD)
,,Standard Playing Cards (KUD)
,,Bi- Fold Genuine Leather Wallet 1 pc (KUD)
,,Kingsford: Match Light Charcoal Briquets 4 lb Bag (CGD)
,,Greenbrier: Surefresh Ziplock Freezer Quart Bags (DGD)
,,LAL: Butane Refill 18 ml Bottle (KUD)
,,Greenbrier: Party Cups/Tumblers 9 oz / 10 ct pk (DGD)
,,Boulder: Plastic Wrap 200 sft Roll (ALD)
,,Phone: USB iPhone Charging Cable 1 Unit (KUD)
,,Phone: Streeo Earphone Wires 1 Unit (KUD)
,,Phone: USB Type-C Charging Cable 1 Unit (KUD)
,,Phone: USB Wall Charging Cube 1 ct (KUD)
,,Knitted: Thermax Hat 1 ct (KUD)
,,Knitted: Magic Gloves 1 ct (KUD)
,,Knitted: Ninja Face Mask 1 ct (KUD)
,,Greenbrier: Party Cups 16 oz / 16 ct Blue/Red pk (DGD)
,,USB Charging Dock
,,Greenbrier: Surefresh Zipper Sandwich Bag (DGD)
,,Greenbrier: Party Pack Plates 9*9 in Red 24 ct (DGD)
,,Phone: Type C Earbuds 1 Unit (KUD)
,,Bic:Disposable Designer Lighter 1 cnt (CTD)
,,
E50DADH6F3X2Y,Hygiene Products,Dental Floss 1 pk (KUD)
,,Assured: Colored Bandages 30 Count
,,Assured: Cotton Swabs 50 Count
,,Assured: Fabric Bandages 30 Ccount
,,Assured: Sheer Antibacterial Bandages 40 ct
,,J & J: Band-Aid Flexible Fabric  8 ct pk (KUD)
,,Carmex: Original Lip Balm 0.25 oz (KUD)
,,Chapstick: Moisturizer Lip Balm 0.15 oz Stick (KUD)
,,Colgate: Tooth Brush - Medium Head 1 pk (KUD)
,,Degree: Men - Extreme Blast 1.7 oz pk (KUD)
,,Dove: White 1/4 Moisturizing Cream 3.15 oz pk (KUD)
,,Ice Drops: Breath Strips 
,,Incense Sticks Pack 1 pk
,,Old Spice: Original / Whitewater - No Aluminium 1 pk (KUD)
,,Old Spice: Pure Sport Men's Deodorant Stick 2.25 oz pk (KUD)
,,Secret: Shower Fresh 1.7 oz pk
,,Softsoap: Moisturizing Hand Soap 7.5 oz Bottle (DGD)
,,Tampax: Tampons - Regular 10 ct Box (KUD)
,,Tampax: Tampons - Super 10 ct Box (KUD)
,,Tampax: Tampons - Super Plus 10 ct Box (KUD)
,,Oral-B: Toothbrush with Tongue Cleaner 1 pk
,,Trim: Fingernail Clipper 1 pk (KUD)
,,Trojan: Magnum Large Size Lubricated Condoms 3 ct (KUD)
,,Trojan: ENZ Premium Lubricated Condoms 3 ct (KUD)
,,Trojan: Ultra Ribbed Premium Lubricated Condoms 3 ct (KUD)
,,Vaseline: Original - Pure Petroleum Jelly Bottle 50 ml (KUD)
,,Degree: Men - Cool Rush 1.7 oz pk (KUD)
,,Degree: Advanced - 72H Motion Sense 2.7 oz pk (KUD)
,,Degree: Shower Clean - Antiprespirant Deodorant 1.6 oz pk (KUD)
,,Gillette: Fusion 5 Shave Foam 11 oz Can
,,Gillette: Disposable Shaving Blades 2 pk (KUD)
,,Old Spice: Pure Sport Antiperspirant & Deodorant Spary 6 oz Can
,,Axe: Dark Temptation Deodorant Bodyspary 150 ml Can (KUD)
,,Degree: Citrus & Spice Deodorant Bodyspary 3.8 oz Can (KUD)
,,Degree: Sport Antiperspirant Deodorant Stick 1.7 oz pk (KUD)
,,Dove: Sensitive Anti-Perspirant Deodorant Stick 1.6 oz pk (KUD)
,,Dove: Fresh Anti-Perspirant Deodorant Stick 1.6 oz pk (KUD)
,,Colgate: Lady Speed Stick Wild Freesia Deodorant 1.4 oz pk (KUD)
,,Colgate: Lady Speed Stick Spring Blossom Deodorant 1.4 oz pk (KUD)
,,Vaseline: Aloe Soothe Lotion 100 ml Bottle (KUD)
,,Vaseline: Advance Strength Lotion 100 ml Bottle (KUD)
,,Vaseline: Deep Restore Lotion 100 ml Bottle (KUD)
,,Vaseline: Cocoa Radiant Lotion 100 ml Bottle (KUD)
,,Unilever: Q-tips Cotton Swabs 30 ct pk
,,Homecare: Comet Foam Bath Cleaner 24 oz Spray (DGD)
,,Greenbrier: Assured 3-in-1 Cotton Set Pk (DGD)
,,Axe: Collision Deodorant Bodysprary 150 ml Can (KUD)
,,Axe: Adrenalin Deodorant Bodyspray 4 oz Can (KUD)
,,Axe: Ice Chill Deodorant Bodyspray 150 ml Can (KUD)
,,Axe: Young Deodorant Bodyspray 150 ml Can (KUD)
,,Member's Mark: Baby Wipes 1 pk - 96 cnt (SGD)
,,Palmolive: Ultra Oxy Dishwashing Liquid Soap 9.7 oz Bottle (DGD)
,,Greenbrier: Dish Detergent Pacs 10 ct Pk (DGD)
,,Glad: Tall Kitchen Gain Scent 13 Gallon Bags
,,Glad: Tall Kitchen Clorox 13 Gallon Bags
,,Dentyne: Fire Spicy Cinnamon 1 pk (CGD)
,,Wrigley's: Extra Polar Ice Gum 15 ct pk (CGD)
,,Wrigley's: Watermelon Prism Gum 15 ct pk (CGD)
,,Wrigley's: Doublemint Gum 15 ct pk (CGD)
,,Wrigley's: Extra Peppermint Gum 15 ct pk (CGD)
,,Wrigley's: Extra Spearmint Gum 15 ct pk (CGD)
,,Wrigley's: Extra Sweet Watermelon Gum 15 ct pk (CGD)
,,Wrigley's: Extra Winterfresh Sugarfree Gum 15 ct pk (CGD)
,,Wrigley's: Juicy Fruit Slim Pack Gum 15 ct pk (CGD)
,,Trident: Cinnamon Gum 14 ct pk (CGD)
,,Trident: White Spearment Gum 16 ct pk (CGD)
,,Trident: Original Gum 14 ct pk (CGD)
,,Trident: Spearment Gum 14 ct pk (CGD)
,,Trident: Watermelon Gum 14 ct pk (CGD)
,,Wrigley's: Extra Classic Bubble Gum 15 ct pk (CGD)
,,Colgate: Cavity Protection Toothpaste 2.3 oz pk (KUD)
,,Listerine: Cool Mint Mouthwash 3.2 oz Bottle (KUD)
,,Listerine: Fresh Mint Mouthwash 3.2 oz Bottle (KUD)
,,Vaseline: Perfect 10 Pro-Age Repair Lotion 100 ml Bottle (KUD)
,,Oxydol: Laundry Detergent Oxygen Powered 21 Loads 42 oz Jug (DGD)
,,Gillette: Disposable Shaving Blades 5 pk (KUD)
,,Gillette: Shaving Gel 2.5 oz Can (KUD)
,,Off: Insect Repellent - Deep Woods 6 oz Can (KUD)
,,Off: Insect Repellent - Active 6 oz Can (KUD)
,,Pro Silk: Shampoo 14 oz Bottle (DGD)
,,Dial: Hydrating Hand Soap 7.5 oz Bottle (DGD)
,,Awesome: Window Cleaning Spary 40 oz Bottle (DGD)
,,Bath Soap - Dove Original 2.6 oz Bar (DGD)
,,Swan: Isopropyl Alcohol 16 oz Bottle (DGD)
,,Wizard: White Floral - Odor Neutralizer & Air Freshener 10 oz Can (DGD)
,,Wizard: Hawaiian - Odor Neutralizer & Air Freshener 10 oz Can (DGD)
,,Wizard: Autum Breeze / Tropical Citrus - Odor Neutralizer & Air Freshener 10 oz Can (DGD)
,,Wizard: Vanilla Papaya - Odor Neutralizer & Air Freshener 10 oz Can (DGD)
,,Homebright: Disinfectant Spary Can (DGD)
,,Clorox: Disinfecting Wipes 2.1 oz pk (DGD)
,,Wrigley's: 5 Sour Strawberry Flood 15 ct (CGD)
,,Dentyne: Spearmint 1 Pk (CGD)
,,Bath Soap - Dove Sensitive2.6 oz Bar (DGD)
,,Willow: Facial Tissue 3-ply Box (ALD)
,,Pro Silk: Shampoo 32 oz Bottle (DGD)
,,Pro Silk: 2 in 1 - Shampoo & Conditioner 32 oz Bottle (DGD)
,,Awesome: Laundry Detergent Rain Fresh Scent 21 Loads 42 oz Jug (DGD)
,,Pro Silk: Conditioner 14 oz Bottle (DGD)
,,Greenbrier: Party Pack Paper Napkins Red/Blue 30 ct Pk (DGD)
,,Trident: Pineaplle Twist Gum 14 ct pk (CGD)
,,Softsoap: Fresh Breeze Moisturizing Hand Soap 7.5 oz Bottle (DGD)
,,Old Spice: White Water Deodorant Stick 1.69 oz (KUD)
,,Member's Mark: Facial Tissue 2 ply - 160 cnt (SGD)
,,Sure & Fresh: Maxi Pads Overnight 7 Cnt (DGD)
,,
THZ68MQTXV5ZY,Household - Cleaning Supplies,Ajax: Powder Bleach  21 oz Can (DGD)
,,Glass Plus: Glass & Multi- PurposeCleaner 32 oz Bottle
,,Lysol: Foam Bathroom Cleaner 32 oz Bottle
,,Georgia-Pacific: POM Paper Towel 110 2-Ply Sheets / 1 pk (SGD)
,,Georgia-Pacific: POM Toilet Paper 1 Cnt (SGD)
,,Pure Bright: Bleach 32 oz Bottle
,,Tide: Simply Clean & Fresh 31 oz Bottle
,,Tide: Simply Oxi 31 oz Bottle
,,Scotch-Brite: Heavy Duty Scrub Sponge 1 pk
,,Scotch-Brite: Non-Scratch Scrub Sponge 1 pk
,,Gain: Flings Laundry 3in1 Tabs 11 oz Bag
,,Gain: Flings Laundry 3in1 Tabs 10 oz Bag
,,Suavitel: Fabric Conditioner Static Reducer - 40 Sheets Box
,,Tide: Simply Clean & Fresh - Citrus & Vanilla Bliss 31 oz Bottle
,,P&G: Dwan Ultra Platinum Ez-Squeeze 12.4 oz Bottle
,,Febreze: Fabric Refresher - Extra Strength Original Scent 6.7 oz Bottle
,,Febreze: Air Refresher - Fresh Cut Pine 8.8 oz Can
