Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
N4Y8KG8T5PG8P,Idaho Spuds: Mashed Potatoes - Classic 13.3 oz Box,,,$3.29,Fixed,,$1.77,011140425004,011140425004,,No,Yes,No,,,Groceries,,,
R6PP2FC4SDPGE,Hunt's: Diced Tomatoes 14.5 oz Can,,,$1.69,Fixed,,$0.62,027000380406,027000380406,,No,Yes,No,,,Groceries - Boxed / Canned,,,
91MTVKH1DVRSE,Hunt's: Tomato Paste 6 oz Can,,,$1.89,Fixed,,$1.00,027000388150,027000388150,,No,Yes,No,,,Groceries - Boxed / Canned,,,
KZZPGWGPW5FM6,JJ's Bakery: Lemon Pie 4 oz,,,$1.29,Fixed,,$0.56,011284003076,011284003076,,No,Yes,No,,,Snacks,,,
AXEPXBXWDH3M8,Spicy Guys: Extra Spicy Pretzels 2.25 oz Bag,,,$2.99,Fixed,,$1.32,810070192099,810070192099,,No,Yes,No,,,Snacks - Candy,,,
MAB2E98XPM9X8,Pearl Milling: Pancake & Waffle Mix 32 oz Box,,,$5.79,Fixed,,$3.10,030000650707,030000650707,3,No,Yes,No,,,Groceries,,,
DK4TAEQ0J04NJ,Pure Bright: Bleach 32 oz Bottle,,,$4.49,Fixed,,$1.49,059647210204,059647210204,1,No,Yes,No,,,Household - Cleaning Supplies,,,
B33DXN3G0NK42,Tide: Simply Clean & Fresh 31 oz Bottle,,,$5.79,Fixed,,$3.18,037000441052,037000441052,,No,Yes,No,,,Household - Cleaning Supplies,,,
5PECAF72CEWH2,Tide: Simply Oxi 31 oz Bottle,,,$5.99,Fixed,,$3.24,037000908166,037000908166,,No,Yes,No,,,Household - Cleaning Supplies,,,
ZVJGJRRBF5ZG6,Sweet Baby Ray's: Honey Barbecue Sauce 28 oz Bottle,,,$5.29,Fixed,,$2.67,013409343418,013409343418,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,
XGTHKVA1D6M62,Gain: Flings Laundry 3in1 Tabs 11 oz Bag,,,$8.99,Fixed,,$5.07,037000867500,037000867500,,No,Yes,No,,,Household - Cleaning Supplies,,,
NZZD9EMPE817T,Gain: Flings Laundry 3in1 Tabs 10 oz Bag,,,$7.99,Fixed,,$3.69,037000867487,037000867487,,No,Yes,No,,,Household - Cleaning Supplies,,,
C7PP5RFZFMJ14,George's: Sweet & Sour Cocktail Mix 32 oz Bottle,,,$6.99,Fixed,,$3.66,869592000221,869592000221,12,No,Yes,No,,,Drinks - Juice,,,
79DMEZFQ92JG0,Virginia Slims: Menthol Gold 100's Pk,,,$10.90,Fixed,,$9.71,028200007346,028200007346,,No,No,No,,,Tobacco - Cigarettes,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
BHPH1GM5EQJH4,Harmless Harvest: Organic Coconut Water 8.75 oz Bottle,,,$3.29,Fixed,,$1.96,859078002672,859078002672,8,No,Yes,No,,,Drinks - Energy / Coffee / Tea / Dairy Free,,,
TZ0BXKWDK3E9M,Gulden's: Spicy Brown Mustard 8 oz Bottle,,,$2.39,Fixed,,$1.25,064144322862,064144322862,1,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,
06PRQHXFXVV0A,Pam: Original 6 oz,,,$6.99,Fixed,,$4.27,064144030217,064144030217,,No,Yes,No,,,Groceries,,,
