,Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option,vendor_x,vendor_y
0,N4Y8KG8T5PG8P,Idaho Spuds: Mashed Potatoes - Classic 13.3 oz Box,,,$3.29,Fixed,,$1.77,011140425004,011140425004,,No,Yes,No,,,Groceries,,,,,
1,R6PP2FC4SDPGE,Hunt's: Diced Tomatoes 14.5 oz Can,,,$1.69,Fixed,,$0.62,027000380406,027000380406,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
2,91MTVKH1DVRSE,Hunt's: Tomato Paste 6 oz Can,,,$1.89,Fixed,,$1.00,027000388150,027000388150,,No,Yes,No,,,Groceries - Boxed / Canned,,,,,
3,KZZPGWGPW5FM6,JJ's Bakery: Lemon Pie 4 oz,,,$1.29,Fixed,,$0.56,011284003076,011284003076,,No,Yes,No,,,Snacks,,,,,
4,AXEPXBXWDH3M8,Spicy Guys: Extra Spicy Pretzels 2.25 oz Bag,,,$2.99,Fixed,,$1.32,810070192099,810070192099,,No,Yes,No,,,Snacks - Candy,,,,,
5,MAB2E98XPM9X8,Pearl Milling: Pancake & Waffle Mix 32 oz Box,,,$5.79,Fixed,,$3.10,030000650707,030000650707,3.0,No,Yes,No,,,Groceries,,,,,
6,DK4TAEQ0J04NJ,Pure Bright: Bleach 32 oz Bottle,,,$4.49,Fixed,,$1.49,059647210204,059647210204,1.0,No,Yes,No,,,Household - Cleaning Supplies,,,,,
7,B33DXN3G0NK42,Tide: Simply Clean & Fresh 31 oz Bottle,,,$5.79,Fixed,,$3.18,037000441052,037000441052,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
8,5PECAF72CEWH2,Tide: Simply Oxi 31 oz Bottle,,,$5.99,Fixed,,$3.24,037000908166,037000908166,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
9,ZVJGJRRBF5ZG6,Sweet Baby Ray's: Honey Barbecue Sauce 28 oz Bottle,,,$5.29,Fixed,,$2.67,013409343418,013409343418,,No,Yes,No,,,Groceries - Condiments / Sauces / Spices,,,,,
10,XGTHKVA1D6M62,Gain: Flings Laundry 3in1 Tabs 11 oz Bag,,,$8.99,Fixed,,$5.07,037000867500,037000867500,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
11,NZZD9EMPE817T,Gain: Flings Laundry 3in1 Tabs 10 oz Bag,,,$7.99,Fixed,,$3.69,037000867487,037000867487,,No,Yes,No,,,Household - Cleaning Supplies,,,,,
12,C7PP5RFZFMJ14,George's: Sweet & Sour Cocktail Mix 32 oz Bottle,,,$6.99,Fixed,,$3.66,869592000221,869592000221,12.0,No,Yes,No,,,Drinks - Juice,,,,,
13,79DMEZFQ92JG0,Virginia Slims: Menthol Gold 100's Pk,,,$10.90,Fixed,,$9.71,028200007346,028200007346,,No,No,No,,,Tobacco - Cigarettes,Processing Charge,,,,
14,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
15,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
16,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
17,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
18,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
19,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
20,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
21,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
22,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
23,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
24,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
25,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
26,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
27,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
28,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
29,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
30,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
31,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
32,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
33,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
34,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
35,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
36,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
37,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
38,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
39,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
40,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
41,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
42,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
43,,,,,,,,,,,,,,,,,,Tobacco Tax,,,,
